pointorder,lat,lon,time,ele,distance,seconds,pace
91,53.3635270,-2.9369370,2019-01-22 16:46:23,6.6,0.00343623087627,1.0,4.51016534106
92,53.3635470,-2.9370180,2019-01-22 16:46:25,6.4,0.00581659924174,2.0,5.43843527271
93,53.3635570,-2.9370630,2019-01-22 16:46:26,6.3,0.00318625126637,1.0,5.13848443327
94,53.3635860,-2.9371370,2019-01-22 16:46:28,6.1,0.00587438136137,2.0,5.40461382564
95,53.3636100,-2.9372080,2019-01-22 16:46:30,5.9,0.00541447590319,2.0,6.09380164537
96,53.3636390,-2.9372870,2019-01-22 16:46:32,5.7,0.00615438568729,2.0,5.24971508388
97,53.3636530,-2.9373300,2019-01-22 16:46:33,5.7,0.00325026675762,1.0,5.07667054605
98,53.3636690,-2.9373720,2019-01-22 16:46:34,5.7,0.00330633435333,1.0,5.02449750429
99,53.3636850,-2.9374080,2019-01-22 16:46:35,5.7,0.00297847620952,1.0,5.35742147882
100,53.3637160,-2.9374860,2019-01-22 16:46:37,5.8,0.0062184274819,2.0,5.21624720369
101,53.3637360,-2.9375250,2019-01-22 16:46:38,5.7,0.00341209625717,1.0,4.53074967595
102,53.3637550,-2.9375630,2019-01-22 16:46:39,5.7,0.00328955474301,1.0,5.03992509054
103,53.3637710,-2.9376020,2019-01-22 16:46:40,5.7,0.00314037073484,1.0,5.18433740611
104,53.3638000,-2.9376730,2019-01-22 16:46:42,5.7,0.00570901887997,2.0,5.50322891209
105,53.3638260,-2.9377430,2019-01-22 16:46:44,5.7,0.0054710111144,2.0,6.05563139642
106,53.3638410,-2.9377810,2019-01-22 16:46:45,5.7,0.00302317676581,1.0,5.30777879517
107,53.3638640,-2.9378530,2019-01-22 16:46:47,5.7,0.0054189260753,2.0,6.0907681932
108,53.3638800,-2.9379010,2019-01-22 16:46:48,5.7,0.00364818746906,1.0,4.34108720695
109,53.3638940,-2.9379480,2019-01-22 16:46:49,5.7,0.00348556194051,1.0,4.46897784939
110,53.3639240,-2.9380250,2019-01-22 16:46:51,5.7,0.00610179688761,2.0,5.27772300003
111,53.3639380,-2.9380650,2019-01-22 16:46:52,5.7,0.0030769848221,1.0,5.24993478297
112,53.3639550,-2.9381080,2019-01-22 16:46:53,5.7,0.00342257215491,1.0,4.52177916123
113,53.3639740,-2.9381530,2019-01-22 16:46:54,5.7,0.00365774655495,1.0,4.33392370132
114,53.3639910,-2.9381940,2019-01-22 16:46:55,5.7,0.00331275157305,1.0,5.01863866924
115,53.3640090,-2.9382360,2019-01-22 16:46:56,5.7,0.00343110717772,1.0,4.51451111318
116,53.3640290,-2.9382770,2019-01-22 16:46:57,5.7,0.00351379409001,1.0,4.44592658074
117,53.3640460,-2.9383150,2019-01-22 16:46:58,5.7,0.00315132556651,1.0,5.17326781666
118,53.3640740,-2.9383840,2019-01-22 16:47:00,5.7,0.00553670271536,2.0,6.01225823892
119,53.3641010,-2.9384440,2019-01-22 16:47:02,5.7,0.00498632484088,2.0,6.41097013095
120,53.3641170,-2.9384830,2019-01-22 16:47:03,5.7,0.00314035341818,1.0,5.1843549653
121,53.3641440,-2.9385520,2019-01-22 16:47:05,5.7,0.00547494022324,2.0,6.05300792054
122,53.3641700,-2.9386220,2019-01-22 16:47:07,5.7,0.00547097927742,2.0,6.05565266945
123,53.3641930,-2.9386810,2019-01-22 16:47:09,5.6,0.00467617148845,2.0,7.07700311022
124,53.3642230,-2.9387560,2019-01-22 16:47:11,5.6,0.00599108792287,2.0,5.33829185241
125,53.3642400,-2.9387980,2019-01-22 16:47:12,5.6,0.00336744133741,1.0,4.56961372093
126,53.3642570,-2.9388390,2019-01-22 16:47:13,5.6,0.00331273762545,1.0,5.01865137859
127,53.3642750,-2.9388770,2019-01-22 16:47:14,5.6,0.00321924456163,1.0,5.10631882994
128,53.3642950,-2.9389240,2019-01-22 16:47:15,5.6,0.00383031068328,1.0,4.21075427737
129,53.3643130,-2.9389640,2019-01-22 16:47:16,5.6,0.00332420579319,1.0,5.00823734213
130,53.3643450,-2.9390390,2019-01-22 16:47:18,5.6,0.0061176930694,2.0,5.26920618166
131,53.3643610,-2.9390820,2019-01-22 16:47:19,5.6,0.00336241320168,1.0,4.57405446629
132,53.3643770,-2.9391190,2019-01-22 16:47:20,5.6,0.00303191865321,1.0,5.2982415242
133,53.3644060,-2.9391960,2019-01-22 16:47:22,5.6,0.00604167523628,2.0,5.31034013214
134,53.3644310,-2.9392640,2019-01-22 16:47:24,5.6,0.00529958801169,2.0,6.17387826297
135,53.3644480,-2.9393100,2019-01-22 16:47:25,5.6,0.00359017033737,1.0,4.38538316021
136,53.3644760,-2.9393860,2019-01-22 16:47:27,5.6,0.00592649817555,2.0,5.37467411743
137,53.3645110,-2.9394640,2019-01-22 16:47:29,5.6,0.0064754939237,2.0,5.08856748777
138,53.3645470,-2.9395370,2019-01-22 16:47:31,5.6,0.00628377639009,2.0,5.18279944391
139,53.3645660,-2.9395840,2019-01-22 16:47:32,5.6,0.00376682197997,1.0,4.25475779136
140,53.3645840,-2.9396280,2019-01-22 16:47:33,5.6,0.00353970906029,1.0,4.425090941
141,53.3646000,-2.9396670,2019-01-22 16:47:34,5.6,0.00314032924443,1.0,5.18437947796
142,53.3646360,-2.9397470,2019-01-22 16:47:36,5.6,0.0066483803519,2.0,5.00825147501
143,53.3646510,-2.9397850,2019-01-22 16:47:37,5.6,0.00302313678707,1.0,5.30782253809
144,53.3646750,-2.9398460,2019-01-22 16:47:39,5.4,0.00484809079071,2.0,6.52533528422
145,53.3647050,-2.9399080,2019-01-22 16:47:41,5.4,0.00529636874152,2.0,6.17617212397
146,53.3647260,-2.9399680,2019-01-22 16:47:43,5.6,0.00461541400344,2.0,7.13330574139
147,53.3647570,-2.9400480,2019-01-22 16:47:45,5.8,0.00632919849093,2.0,5.15995777802
148,53.3647860,-2.9400960,2019-01-22 16:47:46,5.8,0.00453232455347,1.0,3.4063733261
149,53.3648130,-2.9401480,2019-01-22 16:47:47,5.8,0.00457364028346,1.0,3.38644217302
150,53.3648360,-2.9402010,2019-01-22 16:47:48,5.7,0.00434828477568,1.0,3.49975737926
151,53.3648590,-2.9402430,2019-01-22 16:47:49,5.7,0.00378244251885,1.0,4.24379430756
152,53.3648780,-2.9402860,2019-01-22 16:47:50,5.6,0.00355019411841,1.0,4.4167473852
153,53.3648970,-2.9403300,2019-01-22 16:47:51,5.5,0.00360373344391,1.0,4.37490001846
154,53.3649140,-2.9403690,2019-01-22 16:47:52,5.4,0.00320462033702,1.0,5.12049445748
155,53.3649430,-2.9404450,2019-01-22 16:47:54,5.2,0.00598561521795,2.0,5.3413440844
156,53.3649580,-2.9404850,2019-01-22 16:47:55,5.3,0.00313465524783,1.0,5.19014347971
157,53.3649770,-2.9405280,2019-01-22 16:47:56,5.5,0.00355018879139,1.0,4.4167516117
158,53.3650080,-2.9405970,2019-01-22 16:47:58,5.7,0.00573085007747,2.0,5.48988365245
159,53.3650260,-2.9406350,2019-01-22 16:47:59,5.7,0.00321920975266,1.0,5.10635241824
160,53.3650430,-2.9406770,2019-01-22 16:48:00,5.6,0.00336739787076,1.0,4.56965205295
161,53.3650720,-2.9407510,2019-01-22 16:48:02,5.4,0.00587423822085,2.0,5.40469678758
162,53.3650860,-2.9407940,2019-01-22 16:48:03,5.2,0.00325018251986,1.0,5.07675028676
163,53.3651010,-2.9408330,2019-01-22 16:48:04,5.1,0.00307867121731,1.0,5.24815457519
164,53.3651270,-2.9409110,2019-01-22 16:48:06,5.0,0.00592817292609,2.0,5.37372074826
165,53.3651450,-2.9409460,2019-01-22 16:48:07,4.9,0.00306579908551,1.0,5.26179234878
166,53.3651760,-2.9410160,2019-01-22 16:48:09,5.3,0.00578398019463,2.0,5.4578265013
167,53.3651920,-2.9410590,2019-01-22 16:48:10,5.6,0.00336236598181,1.0,4.57409623286
168,53.3652080,-2.9410960,2019-01-22 16:48:11,5.6,0.00303187988104,1.0,5.29828370264
169,53.3652240,-2.9411380,2019-01-22 16:48:12,5.6,0.00330624862424,1.0,5.02457592774
170,53.3652440,-2.9411760,2019-01-22 16:48:13,5.6,0.00336198369493,1.0,4.57443441355
171,53.3652680,-2.9412190,2019-01-22 16:48:14,5.6,0.00390666830277,1.0,4.15972589045
172,53.3652880,-2.9412620,2019-01-22 16:48:15,5.6,0.0036174479902,1.0,4.36437975808
173,53.3653200,-2.9413400,2019-01-22 16:48:17,5.6,0.00628058721984,2.0,5.18441561274
174,53.3653510,-2.9414100,2019-01-22 16:48:19,5.6,0.00578396487526,2.0,5.45783565968
175,53.3653690,-2.9414500,2019-01-22 16:48:20,5.6,0.00332415327251,1.0,5.00828487143
176,53.3654050,-2.9415290,2019-01-22 16:48:22,5.6,0.00659544932177,2.0,5.03239385586
177,53.3654220,-2.9415670,2019-01-22 16:48:23,5.6,0.00315126041385,1.0,5.17333342432
178,53.3654410,-2.9416080,2019-01-22 16:48:24,5.6,0.00344442303428,1.0,4.5032438526
179,53.3654650,-2.9416610,2019-01-22 16:48:26,5.6,0.00441455980724,2.0,7.3304630299
180,53.3654910,-2.9417340,2019-01-22 16:48:28,5.6,0.00564082682897,2.0,5.5455795057
181,53.3655090,-2.9417790,2019-01-22 16:48:29,5.6,0.00359457754487,1.0,4.38196808253
182,53.3655250,-2.9418160,2019-01-22 16:48:30,5.6,0.0030318650901,1.0,5.2982997933
183,53.3655580,-2.9418840,2019-01-22 16:48:32,5.6,0.00581563415105,2.0,5.43900587289
184,53.3655770,-2.9419210,2019-01-22 16:48:33,5.6,0.00323889554811,1.0,5.08747221127
185,53.3656120,-2.9419860,2019-01-22 16:48:35,5.6,0.00580917624368,2.0,5.44282892463
186,53.3656390,-2.9420560,2019-01-22 16:48:37,5.6,0.0055304100843,2.0,6.01636835156
187,53.3656680,-2.9421180,2019-01-22 16:48:39,5.6,0.00522697446325,2.0,6.22630528246
188,53.3657090,-2.9421810,2019-01-22 16:48:41,5.6,0.0061852693399,2.0,5.23348893976
189,53.3657280,-2.9422200,2019-01-22 16:48:42,5.6,0.00334059371841,1.0,4.59347985506
190,53.3657460,-2.9422550,2019-01-22 16:48:43,5.6,0.00306577427128,1.0,5.26181874956
191,53.3657610,-2.9422930,2019-01-22 16:48:44,5.6,0.00302308200109,1.0,5.3078824843
192,53.3657770,-2.9423300,2019-01-22 16:48:45,5.6,0.00303185333271,1.0,5.29831258396
193,53.3658110,-2.9424010,2019-01-22 16:48:47,5.6,0.00604032799759,2.0,5.31107847256
194,53.3658420,-2.9424690,2019-01-22 16:48:49,5.6,0.00567791302601,2.0,5.52242098608
195,53.3658750,-2.9425360,2019-01-22 16:48:51,5.6,0.00576428465641,2.0,5.46964128112
196,53.3658920,-2.9425870,2019-01-22 16:48:52,5.6,0.00387605971094,1.0,4.17993961542
197,53.3659090,-2.9426290,2019-01-22 16:48:53,5.6,0.00336735099407,1.0,4.5696933933
198,53.3659290,-2.9426680,2019-01-22 16:48:54,5.6,0.00341199524169,1.0,4.53083644368
199,53.3659470,-2.9427140,2019-01-22 16:48:55,5.5,0.00364985186884,1.0,4.33983722062
200,53.3659670,-2.9427590,2019-01-22 16:48:56,5.5,0.00372296711868,1.0,4.28602963207
201,53.3659840,-2.9428060,2019-01-22 16:48:57,5.4,0.00364665183216,1.0,4.34224150269
202,53.3659990,-2.9428540,2019-01-22 16:48:58,5.4,0.00359513128275,1.0,4.38153959161
203,53.3660140,-2.9428920,2019-01-22 16:48:59,5.4,0.00302306951378,1.0,5.30789614807
204,53.3660370,-2.9429570,2019-01-22 16:49:01,5.4,0.00501403942514,2.0,6.38879990845
205,53.3660620,-2.9430310,2019-01-22 16:49:03,5.4,0.0056422389809,2.0,5.5446921103
206,53.3660800,-2.9430760,2019-01-22 16:49:05,5.4,0.00359454430565,2.0,9.16398761551
207,53.3661090,-2.9431370,2019-01-22 16:49:07,5.4,0.00517488416404,2.0,6.26482080874
208,53.3661470,-2.9431980,2019-01-22 16:49:09,5.4,0.00585107514095,2.0,5.41817521023
209,53.3661680,-2.9432320,2019-01-22 16:49:10,5.4,0.00324680313271,1.0,5.07995267692
210,53.3661900,-2.9432680,2019-01-22 16:49:11,5.4,0.00341902229876,1.0,4.5248127465
211,53.3662110,-2.9433030,2019-01-22 16:49:12,5.4,0.00329324748677,1.0,5.03651639914
212,53.3662310,-2.9433460,2019-01-22 16:49:13,5.4,0.0036173981844,1.0,4.36441781918
213,53.3662500,-2.9433830,2019-01-22 16:49:14,5.4,0.003238866154,1.0,5.08750023141
214,53.3662690,-2.9434180,2019-01-22 16:49:15,5.4,0.00313947752682,1.0,5.18524337714
215,53.3662850,-2.9434550,2019-01-22 16:49:16,5.4,0.00303182963002,1.0,5.29833837
216,53.3663210,-2.9435190,2019-01-22 16:49:18,5.4,0.00583574178446,2.0,5.42715643335
217,53.3663420,-2.9435510,2019-01-22 16:49:19,5.4,0.00315604007931,1.0,5.16852756895
218,53.3663770,-2.9436160,2019-01-22 16:49:21,5.4,0.00580911875243,2.0,5.44286299736
219,53.3663960,-2.9436540,2019-01-22 16:49:22,5.4,0.00328943494852,1.0,5.0400357984
220,53.3664250,-2.9437190,2019-01-22 16:49:24,5.4,0.00538497172226,2.0,6.1140399303
221,53.3664520,-2.9437960,2019-01-22 16:49:26,5.4,0.00592575130692,2.0,5.37509945391
222,53.3664670,-2.9438360,2019-01-22 16:49:27,5.4,0.00313457565797,1.0,5.19022448049
223,53.3664830,-2.9438790,2019-01-22 16:49:28,5.4,0.00336229262283,1.0,4.57416112212
224,53.3665020,-2.9439170,2019-01-22 16:49:29,5.3,0.00328943013944,1.0,5.04004024287
225,53.3665350,-2.9439920,2019-01-22 16:49:31,5.3,0.00618282326373,2.0,5.2347681871
226,53.3665590,-2.9440580,2019-01-22 16:49:33,5.2,0.00512815274642,2.0,6.30003983675
227,53.3665890,-2.9441270,2019-01-22 16:49:35,5.1,0.00566452677039,2.0,5.53074507557
228,53.3666070,-2.9441670,2019-01-22 16:49:36,5.1,0.00332409169867,1.0,5.00834059542
229,53.3666210,-2.9442100,2019-01-22 16:49:37,5.0,0.00325009228546,1.0,5.07683570855
230,53.3666370,-2.9442580,2019-01-22 16:49:38,4.9,0.00364800754611,1.0,4.34122239979
231,53.3666520,-2.9443010,2019-01-22 16:49:39,4.9,0.00330479246674,1.0,5.02590861624
232,53.3666670,-2.9443440,2019-01-22 16:49:40,4.9,0.0033047915996,1.0,5.0259094102
233,53.3666820,-2.9443870,2019-01-22 16:49:41,5.0,0.00330479073204,1.0,5.02591020455
234,53.3666980,-2.9444250,2019-01-22 16:49:42,5.0,0.00308578012479,1.0,5.24067159538
235,53.3667260,-2.9444980,2019-01-22 16:49:44,5.1,0.00575785671746,2.0,5.47351470893
236,53.3667430,-2.9445400,2019-01-22 16:49:45,5.1,0.00336730584932,1.0,4.56973320734
237,53.3667730,-2.9446100,2019-01-22 16:49:47,5.1,0.00571826776121,2.0,5.49756269472
238,53.3667890,-2.9446500,2019-01-22 16:49:48,5.2,0.00319511375604,1.0,5.12977901994
239,53.3668060,-2.9446940,2019-01-22 16:49:49,5.2,0.0034779160574,1.0,4.47528503706
240,53.3668220,-2.9447370,2019-01-22 16:49:50,5.2,0.00336227335921,1.0,4.57417816211
241,53.3668380,-2.9447780,2019-01-22 16:49:51,5.2,0.00325043250662,1.0,5.07651365768
242,53.3668560,-2.9448230,2019-01-22 16:49:52,5.2,0.00359449913324,1.0,4.38202876933
243,53.3668750,-2.9448710,2019-01-22 16:49:53,5.3,0.00382179266616,1.0,4.21657313034
244,53.3669060,-2.9449500,2019-01-22 16:49:55,5.3,0.00627343352195,2.0,5.18804685345
245,53.3669230,-2.9449900,2019-01-22 16:49:56,5.3,0.00325833240473,1.0,5.0690545831
246,53.3669400,-2.9450300,2019-01-22 16:49:57,5.4,0.00325833154172,1.0,5.06905539598
247,53.3669560,-2.9450710,2019-01-22 16:49:58,5.4,0.00325042620049,1.0,5.0765196264
248,53.3669870,-2.9451380,2019-01-22 16:50:00,5.5,0.00562523894387,2.0,5.55540452585
249,53.3670150,-2.9452070,2019-01-22 16:50:02,5.5,0.00553644138857,2.0,6.01242874191
250,53.3670440,-2.9452810,2019-01-22 16:50:04,5.6,0.00587404826354,2.0,5.40480689002
251,53.3670720,-2.9453590,2019-01-22 16:50:06,5.7,0.00603954763768,2.0,5.3115062915
252,53.3671000,-2.9454280,2019-01-22 16:50:08,5.7,0.00553643383576,2.0,6.01243367
253,53.3671330,-2.9454860,2019-01-22 16:50:10,5.7,0.00531727712083,2.0,6.16132361461
254,53.3671560,-2.9455470,2019-01-22 16:50:12,5.8,0.00478758325448,2.0,6.57747304578
255,53.3671830,-2.9456150,2019-01-22 16:50:14,5.8,0.00541930739524,2.0,6.09050849885
256,53.3671990,-2.9456520,2019-01-22 16:50:15,5.8,0.00303178698481,1.0,5.29838476453
257,53.3672290,-2.9457230,2019-01-22 16:50:17,5.9,0.00577224559446,2.0,5.46485603786
258,53.3672520,-2.9457900,2019-01-22 16:50:19,5.9,0.00512851644853,2.0,6.29976325527
